,date_end,computed_threshold,thresholds,precisions,recalls,f1s,accuracies,exclusion_ratios,n_incorrectly_excluded
20,2023/03/18,0.0003727141331182,"0.00024896510876715183, 0.000992823508568108, 0.000262067886069417, 0.00018877602997235954, 0.00017093813221435994","0.2803030303030303, 0.432258064516129, 0.3013698630136986, 0.10578279266572638, 0.203125","1.0, 1.0, 1.0, 1.0, 1.0","0.43786982248520706, 0.6036036036036037, 0.4631578947368421, 0.1913265306122449, 0.33766233766233766","0.8327464788732394, 0.9225352112676056, 0.8204225352112676, 0.44190140845070425, 0.6854625550660793","0.7676056338028169, 0.863556338028169, 0.7429577464788732, 0.37588028169014087, 0.6052863436123348","0, 0, 0, 0, 0"
21,2023/03/25,0.0002694956958293,"0.00025746680330485106, 0.0001722000743029639, 0.0004561890964396298, 0.00016561347001697868, 0.00029600903508253396","0.17634408602150536, 0.14285714285714285, 0.3062730627306273, 0.2152230971128609, 0.10899653979238755","1.0, 1.0, 1.0, 1.0, 1.0","0.29981718464351004, 0.25, 0.4689265536723164, 0.3542116630669547, 0.1965678627145086","0.668971477960242, 0.533275713050994, 0.8375108038029386, 0.7415730337078652, 0.5544982698961938","0.5980985306828004, 0.4554883318928263, 0.7657735522904062, 0.6707000864304236, 0.5","0, 0, 0, 0, 0"
22,2023/04/01,0.0002842085275915,"0.00022395361156668514, 0.0002640602760948241, 0.0001417107559973374, 0.0006966125802136958, 9.470541408518329e-05","0.240625, 0.15508021390374332, 0.1423841059602649, 0.40594059405940597, 0.07882882882882883","1.0, 1.0, 1.0, 1.0, 1.0","0.3879093198992443, 0.26851851851851855, 0.2492753623188406, 0.5774647887323945, 0.14613778705636743","0.7935429056924383, 0.5969387755102041, 0.5595238095238095, 0.8979591836734694, 0.304421768707483","0.7281223449447749, 0.5229591836734694, 0.48639455782312924, 0.8282312925170068, 0.24489795918367346","0, 0, 0, 0, 0"
23,2023/04/08,0.0004509432561462,"0.0007010263507254422, 8.616350532975048e-05, 0.00019491254352033138, 0.0004056640900671482, 0.0008669497910887003","0.3969849246231156, 0.08412098298676748, 0.1655328798185941, 0.23393316195372751, 0.3924731182795699","1.0, 1.0, 1.0, 1.0, 1.0","0.5683453237410072, 0.15518744551002614, 0.2840466926070039, 0.3791666666666667, 0.5637065637065637","0.8990748528174937, 0.18502943650126155, 0.6904962153069807, 0.7491582491582491, 0.9048821548821548","0.832632464255677, 0.11017661900756939, 0.6291000841042893, 0.6725589225589226, 0.8434343434343434","0, 0, 0, 0, 0"
24,2023/04/22,0.000282015374978,"0.00045299134217202663, 0.00029504825943149626, 0.0003099756722804159, 0.00018073248793371022, 0.0001713291130727157","0.390625, 0.21818181818181817, 0.20437956204379562, 0.2059447983014862, 0.08691099476439791","1.0, 1.0, 1.0, 1.0, 1.0","0.5617977528089888, 0.3582089552238806, 0.3393939393939394, 0.34154929577464793, 0.15992292870905586","0.9035449299258038, 0.7873042044517725, 0.7304204451772465, 0.6916735366859027, 0.281121187139324","0.841714756801319, 0.7279472382522671, 0.6611706512778236, 0.6117065127782357, 0.21269579554822754","0, 0, 0, 0, 0"
25,2023/04/29,0.0002141686185495,"0.0001918243506224826, 0.0001765798806445673, 0.00015047354099806398, 0.00024045089958235621, 0.00031151442090049386","0.23529411764705882, 0.14119601328903655, 0.10935601458080195, 0.20466321243523317, 0.18546365914786966","1.0, 1.0, 1.0, 1.0, 1.0","0.38095238095238093, 0.24745269286754001, 0.19715224534501644, 0.33978494623655914, 0.3128964059196617","0.7680454176804542, 0.5806974858069749, 0.40551500405515006, 0.7510137875101379, 0.7364152473641524","0.6966747769667477, 0.5117599351175993, 0.33252230332522303, 0.6869424168694241, 0.6763990267639902","0, 0, 0, 0, 0"
26,2023/05/06,0.0001826732361223,"0.00015250562864821404, 0.00024347787257283926, 0.00013119382492732257, 0.0001779576123226434, 0.00020823124214075506","0.09564164648910412, 0.2694610778443114, 0.13608562691131498, 0.11982881597717546, 0.15853658536585366","1.0, 1.0, 1.0, 1.0, 1.0","0.17458563535911603, 0.42452830188679247, 0.23956931359353972, 0.2140127388535032, 0.2736842105263158","0.4014423076923077, 0.8044871794871795, 0.5472756410256411, 0.5052125100240578, 0.6680032076984763","0.33814102564102566, 0.7323717948717948, 0.47596153846153844, 0.43785084202085006, 0.6054530874097834","0, 0, 0, 0, 0"
27,2023/05/13,0.0001362876952043,"0.00011788254778366536, 0.00013137308997102082, 0.00019029696704819798, 0.0001040030547301285, 0.0001378828164888546","0.1814516129032258, 0.10933333333333334, 0.18820861678004536, 0.09124537607891492, 0.10825892857142858","1.0, 1.0, 1.0, 1.0, 1.0","0.30716723549488056, 0.19711538461538464, 0.31679389312977096, 0.1672316384180791, 0.19536757301107754","0.6777777777777778, 0.46984126984126984, 0.7158730158730159, 0.4150793650793651, 0.3653693407466243","0.6063492063492063, 0.40476190476190477, 0.65, 0.35634920634920636, 0.28832406671961874","0, 0, 0, 0, 0"
28,2023/05/20,0.0002561390545452,"0.0002098524710163474, 0.0005282507627271116, 9.976445289794356e-05, 0.0002912420022767037, 0.00015158558380790055","0.1455160744500846, 0.324, 0.11231884057971014, 0.2733812949640288, 0.14329738058551617","1.0, 1.0, 1.0, 1.0, 1.0","0.25406203840472674, 0.48942598187311176, 0.2019543973941368, 0.4293785310734463, 0.25067385444743934","0.6051602814698983, 0.8678655199374511, 0.42488262910798125, 0.8419405320813772, 0.564945226917058","0.5379202501954652, 0.8045347928068803, 0.352112676056338, 0.7824726134585289, 0.4921752738654147","0, 0, 0, 0, 0"
29,2023/05/27,0.0002469016835675,"0.00010048013064078987, 0.00037795770913362503, 0.0003157327009830624, 0.0001182227351819165, 0.00032211514189839363","0.09046214355948869, 0.1994750656167979, 0.28484848484848485, 0.12073863636363637, 0.2828282828282828","1.0, 1.0, 1.0, 1.0, 1.0","0.1659152389540126, 0.3326039387308534, 0.4433962264150943, 0.21546261089987326, 0.4409448818897638","0.2890084550345888, 0.765564950038432, 0.8186010760953113, 0.5242121445042275, 0.8362797847809378","0.21829362029208302, 0.7071483474250576, 0.7463489623366641, 0.45887778631821674, 0.7717140661029976","0, 0, 0, 0, 0"
